prediction_key,session_id_original,session_id_normalized,venue,session_title,session_year,security_nightmares,judgment,resolvable,fulfilled_binary,prediction_class,prediction_type,evidence_strength,horizon_days,specificity_proxy_score,specificity_proxy_band,specificity_proxy_components,difficulty_proxy,source_url,source_locator,primary_evidence_url,secondary_evidence_url
25-CCC-2007-013-05,CCC-2007-013,CCC-2007-013,CCC,EU Policy on RFID & Privacy,2007,0,not_fulfilled,1,0,B,occurrence,strong,732,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://fahrplan.events.ccc.de/congress/2007/Fahrplan/attachments/1037_EU_Policy_RFID_Privacy.pdf,page_35,https://eur-lex.europa.eu/eli/reco/2009/387/oj/eng,https://interoperable-europe.ec.europa.eu/collection/rolling-plan-ict-standardisation/internet-things-rp-2026
27-CCC-2012-032-01,CCC-2012-032,CCC-2012-032,CCC,"Defend your Freedoms Online: It's Political, Stupid!",2012,0,fulfilled,1,1,B,occurrence,strong,,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:19:14-00:19:37,https://ustr.gov/ttip,https://www.usitc.gov/publications/332/pub4481.pdf
27-CCC-2012-032-02,CCC-2012-032,CCC-2012-032,CCC,"Defend your Freedoms Online: It's Political, Stupid!",2012,0,fulfilled,1,1,B,occurrence,moderate,,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:19:28-00:19:40,https://ustr.gov/about-us/policy-offices/press-office/blog/2013/june/2013-Joint-Strategic-Plan-Release,https://www.europarl.europa.eu/legislative-train/carriage/ttip-intellectual-property-geographical-indications/report?sid=601
27-CCC-2012-032-03,CCC-2012-032,CCC-2012-032,CCC,"Defend your Freedoms Online: It's Political, Stupid!",2012,0,not_fulfilled,1,0,B,textual_similarity,strong,,2,baja,horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:19:32-00:19:46,https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/countries-and-regions/united-states/eu-negotiating-texts-ttip_en,https://ustr.gov/ttip
27-CCC-2012-032-04,CCC-2012-032,CCC-2012-032,CCC,"Defend your Freedoms Online: It's Political, Stupid!",2012,0,fulfilled,1,1,B,non_occurrence,strong,550,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,media,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:37:11-00:37:28,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014L0026,
27-CCC-2012-032-08,CCC-2012-032,CCC-2012-032,CCC,"Defend your Freedoms Online: It's Political, Stupid!",2012,0,fulfilled,1,1,B,occurrence,strong,31,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:59:03-00:59:15,https://www.camara.leg.br/noticias/365888-projeto-propoe-reforma-na-lei-de-direito-,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=534039
30-CCC-2018-076-02,CCC-2018-076,CCC-2018-076,CCC,Election Cybersecurity Progress Report,2018,0,fulfilled,1,1,B,occurrence,strong,677,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report,00:21:22-00:22:32,https://www.justice.gov/opa/pr/two-iranian-nationals-charged-cyber-enabled-campaign-threaten-and-influence-american-voters,https://www.dni.gov/files/ODNI/documents/assessments/ICA-declass-16MAR21.pdf
30-CCC-2018-076-03,CCC-2018-076,CCC-2018-076,CCC,Election Cybersecurity Progress Report,2018,0,fulfilled,1,1,B,compound_state,strong,677,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report,00:21:22-00:21:39,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.govinfo.gov/content/pkg/CRPT-117hrpt663/pdf/CRPT-117hrpt663.pdf
30-CCC-2018-076-08,CCC-2018-076,CCC-2018-076,CCC,Election Cybersecurity Progress Report,2018,0,not_fulfilled,1,0,B,occurrence,strong,738,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report,00:48:22-00:48:32,https://www.congress.gov/bill/116th-congress/house-bill/2722/all-info,https://www.congress.gov/bill/116th-congress/senate-bill/1540
31-VB-2016-P01-01,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,indeterminate,0,,B,count,weak,1095,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:07:33-00:08:00,,
31-VB-2016-P01-02,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,not_fulfilled,1,0,B,count,moderate,85,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:16:01-00:16:12,https://www.crunchbase.com/hub/cyber-security-acquired-companies,https://www.securityweek.com/security-mergers-and-acquisitions/
31-VB-2016-P01-06,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,capability_maturation,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:28:03,https://www.av-comparatives.org/tests/advanced-endpoint-protection-test/,https://av-comparatives.org/tests/endpoint-prevention-response-epr-test-2021/
31-VB-2016-P01-07,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,count,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:28:27,https://www.av-comparatives.org/tests/business-security-test-2021-august-november/,https://www.av-test.org/en/antivirus/business-windows-client/
31-VB-2016-P01-08,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,capability_maturation,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:29:43,https://av-comparatives.org/tests/endpoint-prevention-response-epr-test-2021/,https://attack.mitre.org/evaluations/enterprise/
31-VB-2016-P01-09,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,count,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:30:24,https://www.av-comparatives.org/wp-content/uploads/2021/07/avc_biz_2021_07.pdf,https://attack.mitre.org/evaluations/enterprise/
31-VB-2016-P01-10,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,capability_maturation,moderate,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:31:26,https://learn.microsoft.com/en-us/defender-endpoint/device-control-overview,https://www.broadcom.com/products/cyber-security/information-protection/data-loss-prevention
31-VB-2016-P01-11,VB-2016-P01,VB-2016-P01,Virus Bulletin,The Beginning of the End(point): Where we are now and where we'll be in five years,2016,0,fulfilled,1,1,B,capability_maturation,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:32:35,https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/microsoft-defender-endpoint,https://support.apple.com/guide/security/intro-to-app-security-sec35dd877d0/web
34-CCC-2013-034-08,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,not_fulfilled,1,0,B,count,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:06:16-01:06:43,https://biometrics.mainguet.org/appli/appli_smartphones_history.htm,https://www.biometricupdate.com/wp-content/uploads/2014/08/Mobile-Biometric-Authentication-Report.pdf
34-CCC-2013-034-09,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,not_fulfilled,1,0,B,count,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:06:36-01:06:49,https://srlabs.de/bites/spoofing-fingerprints,https://techcrunch.com/2014/04/15/samsung-galaxy-s5-fingerprint-sensor/
34-CCC-2013-034-10,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,not_fulfilled,1,0,B,proportion,strong,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:06:49-01:06:59,https://news.samsung.com/global/10-sensors-of-galaxy-s5-heart-rate-finger-scanner-and-more,https://consumer.huawei.com/en/press/news/2014/ifa2014-mate7/
34-CCC-2013-034-11,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,indeterminate,0,,B,occurrence,weak,366,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:19:04-01:19:35,,
34-CCC-2013-034-12,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,indeterminate,0,,B,count,moderate,366,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:20:32-01:21:27,https://www.cs.tau.ac.il/~tromer/acoustic/,https://arxiv.org/abs/1411.0237
34-CCC-2013-034-13,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,fulfilled,1,1,B,occurrence,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:21:20-01:21:34,https://arxiv.org/abs/1403.5727,https://arxiv.org/abs/1408.1416
34-CCC-2013-034-14,CCC-2013-034,CCC-2013-043,CCC,Security Nightmares,2013,1,indeterminate,0,,B,occurrence,weak,366,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:22:53-01:24:31,,
36-BHKEY-2017-01-10,BHKEY-2017-01,BHKEY-2017-01,Black Hat USA,Stepping Up Our Game: Re-focusing the Security Community on Defense and Making Security Work for Everyone,2017,0,indeterminate,0,,B,count,weak,730,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=YJOMTAREFtY,00:25:38-00:25:46,,
39-CCC-2006-011-01,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,fulfilled,1,1,B,count,strong,366,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:45:04-00:45:20,https://www.bgbl.de/xaver/bgbl/start.xav?start=%2F%2F%2A%5B%40attr_id%3D%27bgbl107s3198.pdf%27%5D,https://www.bundestag.de/resource/blob/412372/479d45f0586c5ce47d531ffe0b683131/wd-3-248-12-pdf-data.pdf
39-CCC-2006-011-03,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,not_fulfilled,1,0,B,occurrence,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:49:02-00:49:20,https://www.tagesspiegel.de/politik/bka-stellt-software-zur-online-durchsuchung-vor-1539442.html,https://www.tagesspiegel.de/politik/bundestrojaner-noch-viele-fragen-1540825.html
39-CCC-2006-011-04,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,fulfilled,1,1,B,occurrence,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:49:20-00:50:15,https://www.tagesspiegel.de/politik/behorden-sind-gute-kunden-1981750.html,
39-CCC-2006-011-05,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,indeterminate,0,,B,trend,weak,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:51:22-00:52:13,,
39-CCC-2006-011-06,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,not_fulfilled,1,0,B,occurrence,weak,366,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:52:36-00:53:25,,
39-CCC-2006-011-11,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,indeterminate,0,,B,trend,weak,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/23C3-1682-de-security_nightmares,01:06:25-01:06:38,https://seclists.org/fulldisclosure/,
39-CCC-2006-011-13,CCC-2006-011,CCC-2006-011,CCC,Security Nightmares 2007,2006,1,not_fulfilled,1,0,B,occurrence,moderate,366,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/23C3-1682-de-security_nightmares,01:09:42-01:10:04,https://nvd.nist.gov/vuln/detail/CVE-2007-1993,https://media.blackhat.com/bh-dc-11/Larimer/BlackHat_DC_2011_Larimer_Vulnerabiliters_w-removeable_storage-wp.pdf
41-CCC-2011-031-01,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,indeterminate,0,,B,occurrence,weak,367,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:04:18-01:04:48,,
41-CCC-2011-031-02,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,indeterminate,0,,B,count,weak,367,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:07:16-01:07:41,,
41-CCC-2011-031-03,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,fulfilled,1,1,B,occurrence,strong,367,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:08:10-01:08:15,https://www.globenewswire.com/news-release/2012/09/25/492510/13741/en/HID-Global-Completes-World-s-First-Series-of-NFC-Enabled-Smartphone-Pilots-That-Open-Doors-in-the-Enterprise.html,https://www.rfidjournal.com/news/assa-abloy-creates-nfc-solution-that-uses-phones-to-open-doors-grant-computer-access/83855/
41-CCC-2011-031-04,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,indeterminate,0,,B,trend,weak,367,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:10:38-01:11:50,,
41-CCC-2011-031-05,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,not_fulfilled,1,0,B,occurrence,moderate,367,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:19:06-01:19:26,https://www.enisa.europa.eu/publications/info-notes/spam-and-phishing-in-q3-2012,https://securelist.com/spam-in-2012/36683/
41-CCC-2011-031-06,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,not_fulfilled,1,0,B,conjunctive_occurrence,moderate,367,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:19:26-01:19:47,https://www.enisa.europa.eu/publications/info-notes/spam-and-phishing-in-q3-2012,
41-CCC-2011-031-07,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,fulfilled,1,1,B,occurrence,strong,367,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:25:39-01:25:50,https://www.5gtechnologyworld.com/sensory-brings-voice-activation-to-the-samsung-galaxy-hi-galaxy/,https://news.samsung.com/global/samsung-galaxy-s-iii-designed-for-humans-and-inspired-by-nature
41-CCC-2011-031-08,CCC-2011-031,CCC-2011-031,CCC,Security Nightmares,2011,1,indeterminate,0,,B,trend,weak,367,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:27:33-01:27:50,,
43-CCC-2017-073-01,CCC-2017-073,CCC-2017-073,CCC,Security Nightmares 0x12,2017,1,not_fulfilled,1,0,B,trend,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/34c3-8888-security_nightmares_0x12,01:07:02-01:07:18,https://robotattack.org/,https://www.usenix.org/conference/usenixsecurity18/presentation/bock
43-CCC-2017-073-02,CCC-2017-073,CCC-2017-073,CCC,Security Nightmares 0x12,2017,1,not_fulfilled,1,0,B,trend,moderate,366,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://media.ccc.de/v/34c3-8888-security_nightmares_0x12,01:07:10-01:07:21,https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=random+2018,https://csrc.nist.gov/publications/detail/sp/800-90b/final
44-VB-2015-P02-01,VB-2015-P02,VB-2015-P02,Virus Bulletin,POS fraud - trends and counter-actions to mass fraud,2015,0,indeterminate,0,,B,count,moderate,1827,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=JWm2AICa6rg,00:18:32-00:18:45,https://eur-lex.europa.eu/eli/dir/2015/2366/oj,https://usa.visa.com/support/consumer/visa-rules.html
45-CCC-2005-006-01,CCC-2005-006,CCC-2005-006,CCC,Security Nightmares 2006,2005,1,indeterminate,0,,B,occurrence,moderate,367,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/22C3-600-de-security_nightmares,00:06:39-00:07:10,https://nvd.nist.gov/vuln/detail/CVE-2006-2312,https://www.kb.cert.org/vuls/id/466428
45-CCC-2005-006-02,CCC-2005-006,CCC-2005-006,CCC,Security Nightmares 2006,2005,1,fulfilled,1,1,B,occurrence,strong,367,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/22C3-600-de-security_nightmares,00:10:43-00:11:04,https://www.cs.virginia.edu/~robins/Malware_Goes_Mobile.pdf,https://www.usenix.org/event/sec07/tech/hypponen.pdf
45-CCC-2005-006-03,CCC-2005-006,CCC-2005-006,CCC,Security Nightmares 2006,2005,1,not_fulfilled,1,0,B,occurrence,moderate,367,2,baja,horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/22C3-600-de-security_nightmares,00:11:18-00:11:31,https://seclists.org/cert/2006/8,https://www.macworld.com/article/179006/security-41.html
49-CCC-2018-074-01,CCC-2018-074,CCC-2018-074,CCC,"""The"" Social Credit System",2018,0,fulfilled,1,1,B,categorical,strong,734,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,baja,https://media.ccc.de/v/35c3-9904-the_social_credit_system,00:34:42-00:35:13,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,https://www.uscc.gov/research/chinas-corporate-social-credit-system-context-competition-technology-and-geopolitics
51-BHPRO-2012-03-01,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet,2012,0,fulfilled,1,1,B,count,moderate,1984,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=S34b4kNUIos,00:02:58-00:03:27,https://www.rfc-editor.org/rfc/rfc7381.html,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html
51-BHPRO-2012-03-02,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet,2012,0,fulfilled,1,1,B,prevalence,strong,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=S34b4kNUIos,00:57:16-00:57:33,https://www.google.com/intl/en/ipv6/statistics.html,https://www.internetsociety.org/resources/2017/state-of-ipv6-deployment-2017/
51-BHPRO-2012-03-03,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet,2012,0,fulfilled,1,1,B,count,moderate,1826,3,media,detalle_numerico_original;horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=S34b4kNUIos,00:57:47-00:58:53,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html,https://www.rfc-editor.org/rfc/rfc7381.html
51-BHPRO-2012-03-04,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet,2012,0,indeterminate,0,,B,count,weak,1826,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=S34b4kNUIos,00:58:53-00:59:33,,
51-BHPRO-2012-03-05,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet,2012,0,indeterminate,0,,B,trend,moderate,1826,2,baja,horizonte_explicito;poblacion_y_geografia,alta,https://www.youtube.com/watch?v=S34b4kNUIos,00:59:44-00:59:55,https://www.google.com/intl/en/ipv6/statistics.html,https://www.caida.org/catalog/datasets/ipv6_dnsnames/
