selection_order,frame_id,extraction_session_id,venue,year,period,selection_stratum,official_program_url,content_url,s3_in_original_order,included_predictions,fulfilled,not_fulfilled,indeterminate
28,VB-2011-P01,VB-2011-P01,Virus Bulletin,2011,2010-2014,prospective_metadata,https://www.virusbulletin.com/conference/vb2011/programme/,https://www.virusbulletin.com/uploads/pdf/conference_slides/2011/Kapoor-Mathur-VB2011.pdf,1,0,0,0,0
29,BHPRO-2016-01,BHPRO-2016-01,Black Hat USA,2016,2015-2018,prospective_metadata,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=vwgXBK2rsjA,1,0,0,0,0
30,CCC-2018-076,CCC-2018-076,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report,https://cdn.media.ccc.de/congress/2018/h264-sd/35c3-9917-eng-deu-Election_Cybersecurity_Progress_Report_sd.mp4,1,3,2,1,0
31,VB-2016-P01,VB-2016-P01,Virus Bulletin,2016,2015-2018,prospective_metadata,https://www.virusbulletin.com/conference/vb2016/programme/,https://www.youtube.com/watch?v=HtXCxA76Zbo,1,8,6,1,1
32,CCC-2005-004,CCC-2005-004,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-469-en-learning_cryptography,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-469-en-learning_cryptography.m4v,1,0,0,0,0
33,BHPRO-2014-02,BHPRO-2014-02,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=KsRBig0u568,1,0,0,0,0
34,CCC-2013-043,CCC-2013-034,CCC,2013,2010-2014,prospective_metadata,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,https://cdn.media.ccc.de/congress/2013/mp4-lq/30c3-5413-de-en-Security_Nightmares_h264-iprod.mp4,1,7,1,3,3
35,VB-2014-P02,VB-2014-P02,Virus Bulletin,2014,2010-2014,prospective_metadata,https://www.virusbulletin.com/conference/vb2014/programme/,https://www.virusbulletin.com/virusbulletin/2014/11/vb2014-paper-bootkits-past-present-future/,1,0,0,0,0
36,BHKEY-2017-01,BHKEY-2017-01,Black Hat USA,2017,2015-2018,keynote,https://blackhat.com/us-17/briefings.html,https://www.youtube.com/watch?v=YJOMTAREFtY,1,1,0,0,1
37,CCC-2018-081,CCC-2018-081,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9812-a_farewell_to_soul-crushing_code,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9812-eng-deu-fra-A_farewell_to_soul-crushing_code_hd.mp4,1,0,0,0,0
38,VB-2018-P01,VB-2018-P01,Virus Bulletin,2018,2015-2018,prospective_metadata,https://www.virusbulletin.com/conference/vb2018/programme,https://www.youtube.com/watch?v=abgtZqRtvLI,1,0,0,0,0
39,CCC-2006-011,CCC-2006-011,CCC,2006,2005-2009,prospective_metadata,https://media.ccc.de/v/23C3-1682-de-security_nightmares,https://cdn.media.ccc.de/congress/2006/video/23C3-1682-de-security_nightmares.m4v,1,7,2,3,2
40,BHKEY-2012-01,BHKEY-2012-01,Black Hat USA,2012,2010-2014,keynote,https://blackhat.com/html/bh-us-12/bh-us-12-archives.html,https://www.youtube.com/watch?v=31rFd9JirrM,1,0,0,0,0
41,CCC-2011-031,CCC-2011-031,CCC,2011,2010-2014,prospective_metadata,https://media.ccc.de/v/28c3-4898-de-security_nightmares,https://cdn.media.ccc.de/congress/2011/webm/28c3-4898-de-security_nightmares.webm,1,8,2,2,4
42,BHPRO-2018-10,BHPRO-2018-10,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=ZBq7VMIkgPk,1,0,0,0,0
43,CCC-2017-073,CCC-2017-073,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-8888-security_nightmares_0x12,https://cdn.media.ccc.de/congress/2017/h264-hd/34c3-8888-deu-eng-Security_Nightmares_0x12_hd.mp4,1,2,0,2,0
44,VB-2015-P02,VB-2015-P02,Virus Bulletin,2015,2015-2018,prospective_metadata,https://www.virusbulletin.com/conference/vb2015/programme/,https://www.youtube.com/watch?v=JWm2AICa6rg,1,1,0,0,1
45,CCC-2005-006,CCC-2005-006,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-600-de-security_nightmares,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-600-de-security_nightmares.m4v,1,3,1,1,1
46,BHPRO-2014-08,BHPRO-2014-08,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=4bK5nNwndVc,1,0,0,0,0
47,CCC-2013-041,CCC-2013-041,CCC,2013,2010-2014,prospective_metadata,https://media.ccc.de/v/30C3_-_5214_-_en_-_saal_1_-_201312281130_-_the_gospel_of_irma_-_jaap-henk_hoepman,https://cdn.media.ccc.de/congress/2013/mp4/30c3-5214-en-The_Gospel_of_IRMA__h264-hq.mp4,1,0,0,0,0
48,BHPRO-2017-03,BHPRO-2017-03,Black Hat USA,2017,2015-2018,prospective_metadata,https://blackhat.com/us-17/briefings.html,https://www.youtube.com/watch?v=tNk2AI5a1F8,1,0,0,0,0
49,CCC-2018-074,CCC-2018-074,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9904-the_social_credit_system,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9904-eng-deu-chi-The_Social_Credit_System_hd.mp4,1,1,1,0,0
50,CCC-2006-009,CCC-2006-009,CCC,2006,2005-2009,prospective_metadata,https://media.ccc.de/v/23C3-1459-en-sip_security,https://cdn.media.ccc.de/congress/2006/video/23C3-1459-en-sip_security.m4v,1,0,0,0,0
51,BHPRO-2012-03,BHPRO-2012-03,Black Hat USA,2012,2010-2014,prospective_metadata,https://blackhat.com/html/bh-us-12/bh-us-12-archives.html,https://www.youtube.com/watch?v=S34b4kNUIos,1,8,4,1,3
52,CCC-2013-039,CCC-2013-039,CCC,2013,2010-2014,prospective_metadata,https://media.ccc.de/v/30C3_-_5509_-_de_-_saal_6_-_201312271600_-_ifgint_-_stefan_wehrmeyer,https://cdn.media.ccc.de/congress/2013/mp4/30c3-5509-de-en-IFGINT_h264-hq.mp4,1,0,0,0,0
53,BHPRO-2017-01,BHPRO-2017-01,Black Hat USA,2017,2015-2018,prospective_metadata,https://blackhat.com/us-17/briefings.html,https://www.youtube.com/watch?v=SAqctQuPyOU,1,0,0,0,0
54,CCC-2017-066,CCC-2017-066,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9029-uncovering_vulnerabilities_in_hoermann_bisecur,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9029-eng-deu-Uncovering_vulnerabilities_in_Hoermann_BiSecur_hd-slides.mp4,1,0,0,0,0
55,CCC-2005-003,CCC-2005-003,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-423-en-corp_vs_corp,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-423-en-corp_vs_corp.m4v,1,0,0,0,0
56,BHPRO-2014-04,BHPRO-2014-04,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=ren6QSvwFvg,1,0,0,0,0
57,CCC-2011-030,CCC-2011-030,CCC,2011,2010-2014,prospective_metadata,https://media.ccc.de/v/28c3-4710-en-the_future_of_cryptology,https://cdn.media.ccc.de/congress/2011/ogg-audio-only/28c3-4710-en-the_future_of_cryptology.ogg,1,0,0,0,0
58,BHPRO-2016-03,BHPRO-2016-03,Black Hat USA,2016,2015-2018,prospective_metadata,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=-vzoz_KJTps,1,0,0,0,0
59,CCC-2016-060,CCC-2016-060,CCC,2016,2015-2018,prospective_metadata,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,https://cdn.media.ccc.de/congress/2016/h264-hd/33c3-8413-deu-eng-Security_Nightmares_0x11_hd.mp4,1,5,4,0,1
60,CCC-2006-008,CCC-2006-008,CCC,2006,2005-2009,prospective_metadata,https://media.ccc.de/v/23C3-1608-en-vehicular_communication_and_vanets,https://cdn.media.ccc.de/congress/2006/video/23C3-1608-en-vehicular_communication_and_vanets.m4v,1,1,0,1,0
61,BHKEY-2014-01,BHKEY-2014-01,Black Hat USA,2014,2010-2014,keynote,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=nT-TGvYOBpI,1,0,0,0,0
62,CCC-2010-022,CCC-2010-022,CCC,2010,2010-2014,keynote,https://media.ccc.de/v/27c3-4302-en-27c3_keynote_we_come_in_peace,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4302-en-27c3_keynote_we_come_in_peace.mp4,1,0,0,0,0
63,BHPRO-2018-04,BHPRO-2018-04,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=emt1yf2Fg9g,1,0,0,0,0
64,CCC-2015-055,CCC-2015-055,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7457-predicting_crime_in_a_big_data_world,https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7457-de-Predicting_Crime_in_a_Big_Data_World.mp4,1,0,0,0,0
65,CCC-2006-010,CCC-2006-010,CCC,2006,2005-2009,prospective_metadata,https://media.ccc.de/v/23C3-1342-en-botnet_detection,https://cdn.media.ccc.de/congress/2006/video/23C3-1342-en-botnet_detection.m4v,1,0,0,0,0
66,BHPRO-2014-05,BHPRO-2014-05,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=xomtYrcTSgU,1,0,0,0,0
67,CCC-2014-047,CCC-2014-047,CCC,2014,2010-2014,prospective_metadata,https://media.ccc.de/v/31c3_-_6137_-_en_-_saal_g_-_201412291600_-_caesar_and_norx_-_philipp_jovanovic_-_aumasson,https://cdn.media.ccc.de/congress/2014/h264-sd/31c3-6137-en-de-CAESAR_and_NORX_sd.mp4,1,0,0,0,0
68,BHPRO-2017-04,BHPRO-2017-04,Black Hat USA,2017,2015-2018,prospective_metadata,https://blackhat.com/us-17/briefings.html,https://www.youtube.com/watch?v=abJ3VoZMeBk,1,0,0,0,0
69,CCC-2015-049,CCC-2015-049,CCC,2015,2015-2018,keynote,https://media.ccc.de/v/32c3-7565-keynote,https://cdn.media.ccc.de/congress/2015/h264-hd/32c3-7565-en-Keynote_hd.mp4,1,0,0,0,0
70,CCC-2009-021,CCC-2009-021,CCC,2009,2005-2009,prospective_metadata,https://media.ccc.de/v/26c3-3687-de-security_nightmares,https://cdn.media.ccc.de/congress/2009/mp4/26c3-3687-de-security_nightmares.mp4,1,5,2,1,2
71,BHPRO-2014-09,BHPRO-2014-09,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=fXgZKFlw13I,1,0,0,0,0
72,CCC-2010-027,CCC-2010-027,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace.mp4,1,0,0,0,0
73,BHPRO-2015-02,BHPRO-2015-02,Black Hat USA,2015,2015-2018,prospective_metadata,https://blackhat.com/us-15/briefings.html,https://www.youtube.com/watch?v=4aUSuWEpAC0,1,0,0,0,0
74,CCC-2017-069,CCC-2017-069,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9110-history_and_implications_of_drm,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9110-eng-deu-History_and_implications_of_DRM_hd-slides.mp4,1,0,0,0,0
75,CCC-2008-016,CCC-2008-016,CCC,2008,2005-2009,prospective_metadata,https://media.ccc.de/v/25c3-2979-en-embracing_post-privacy,https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-2979-en-embracing_post-privacy.mp4,1,0,0,0,0
76,BHPRO-2014-01,BHPRO-2014-01,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=MAGacjNw0Sw,1,0,0,0,0
77,CCC-2010-023,CCC-2010-023,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4190-en-data_retention_in_the_eu,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4190-en-data_retention_in_the_eu.mp4,1,0,0,0,0
78,BHPRO-2015-01,BHPRO-2015-01,Black Hat USA,2015,2015-2018,prospective_metadata,https://blackhat.com/us-15/briefings.html,https://www.youtube.com/watch?v=cfQCOICIliQ,1,0,0,0,0
79,CCC-2018-079,CCC-2018-079,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9563-wallet_fail,https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9563-eng-deu-walletfail_hd-slides.mp4,1,0,0,0,0
80,CCC-2007-012,CCC-2007-012,CCC,2007,2005-2009,prospective_metadata,https://media.ccc.de/v/24c3-2233-en-vx,https://cdn.media.ccc.de/congress/2007/mp4/24c3-2233-en-vx_high.mp4,1,2,0,1,1
81,BHPRO-2014-07,BHPRO-2014-07,Black Hat USA,2014,2010-2014,prospective_metadata,https://blackhat.com/us-14/archives.html,https://www.youtube.com/watch?v=zHwErzJ1udc,1,0,0,0,0
82,CCC-2013-038,CCC-2013-038,CCC,2013,2010-2014,keynote,https://media.ccc.de/v/30C3_-_5622_-_en_-_saal_1_-_201312271930_-_30c3_keynote_-_glenn_greenwald_-_frank,https://cdn.media.ccc.de/congress/2013/mp4-hd/30c3-5622-en-de-30c3_Keynote_h264-hd.mp4,1,0,0,0,0
83,BHPRO-2016-02,BHPRO-2016-02,Black Hat USA,2016,2015-2018,prospective_metadata,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=kno0vDhbb7Y,1,0,0,0,0
84,CCC-2016-057,CCC-2016-057,CCC,2016,2015-2018,prospective_metadata,https://media.ccc.de/v/33c3-8349-hacking_the_world,https://cdn.media.ccc.de/congress/2016/h264-hd/33c3-8349-eng-deu-fra-Hacking_the_World_hd.mp4,1,0,0,0,0
85,CCC-2005-005,CCC-2005-005,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-1295-en-future_challenges,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-1295-en-future_challenges.m4v,1,0,0,0,0
86,BHPRO-2012-02,BHPRO-2012-02,Black Hat USA,2012,2010-2014,prospective_metadata,https://blackhat.com/html/bh-us-12/bh-us-12-archives.html,https://www.youtube.com/watch?v=-DddBLZE6HU,1,0,0,0,0
87,CCC-2010-026,CCC-2010-026,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4123-en-defense_is_not_dead,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4123-en-defense_is_not_dead.mp4,1,0,0,0,0
88,BHPRO-2018-06,BHPRO-2018-06,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=CAwua_lugV8,1,0,0,0,0
89,CCC-2018-083,CCC-2018-083,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9973-freedom_needs_fighters,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9973-deu-eng-spa-Freedom_needs_fighters_hd.mp4,1,0,0,0,0
90,CCC-2008-015,CCC-2008-015,CCC,2008,2005-2009,keynote,https://media.ccc.de/v/25c3-3025-en-opening_and_keynote_nothing_to_hide,https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-3025-en-opening_and_keynote_nothing_to_hide.mp4,1,0,0,0,0
91,BHPRO-2012-01,BHPRO-2012-01,Black Hat USA,2012,2010-2014,prospective_metadata,https://blackhat.com/html/bh-us-12/bh-us-12-archives.html,https://www.youtube.com/watch?v=3NriJvra62g,1,0,0,0,0
92,CCC-2014-045,CCC-2014-045,CCC,2014,2010-2014,prospective_metadata,https://media.ccc.de/v/31c3_-_6265_-_en_-_saal_6_-_201412281600_-_the_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_-_jimmy_schulz_-_dr_rudiger_hanig,https://cdn.media.ccc.de/congress/2014/h264-sd/31c3-6265-en-The_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_sd.mp4,1,1,0,1,0
93,BHKEY-2015-01,BHKEY-2015-01,Black Hat USA,2015,2015-2018,keynote,https://blackhat.com/us-15/briefings.html,https://www.youtube.com/watch?v=Tjvw5fz_GuA,1,1,0,1,0
94,CCC-2017-067,CCC-2017-067,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9105-coming_soon_machine-checked_mathematical_proofs_in_everyday_software_and_hardware_development,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9105-eng-deu-Coming_Soon_Machine-Checked_Mathematical_Proofs_in_Everyday_Software_and_Hardware_Development_hd-slides.mp4,1,0,0,0,0
95,CCC-2005-001,CCC-2005-001,CCC,2005,2005-2009,prospective_metadata,https://media.ccc.de/v/22C3-489-en-hacking_health,https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-489-en-hacking_health.m4v,1,0,0,0,0
96,CCC-2013-040,CCC-2013-040,CCC,2013,2010-2014,prospective_metadata,https://media.ccc.de/v/30C3_-_5459_-__-_saal_1_-_201312282145_-_security_of_the_ic_backside_-_nedos,https://cdn.media.ccc.de/congress/2013/mp4-hd/30c3-5459-en-de-Security_of_the_IC_Backside_h264-hd.mp4,1,0,0,0,0
97,BHPRO-2018-08,BHPRO-2018-08,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=BHwqORo_83E,1,0,0,0,0
98,CCC-2015-052,CCC-2015-052,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7449-prediction_and_control,https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7449-en-Prediction_and_Control.mp4,1,0,0,0,0
99,CCC-2009-020,CCC-2009-020,CCC,2009,2005-2009,prospective_metadata,https://media.ccc.de/v/26c3-3490-en-building_a_debugger,https://cdn.media.ccc.de/congress/2009/mp4/26c3-3490-en-building_a_debugger.mp4,1,0,0,0,0
100,CCC-2010-028,CCC-2010-028,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4230-de-security_nightmares,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4230-de-security_nightmares.mp4,1,4,1,2,1
101,BHPRO-2018-01,BHPRO-2018-01,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=iY6CQBgs1w0,1,0,0,0,0
102,CCC-2015-053,CCC-2015-053,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7501-ten_years_after_we_lost_the_war,https://cdn.media.ccc.de/congress/2015/h264-sd/32c3-7501-en-de-Ten_years_after_We_Lost_The_War_sd.mp4,1,0,0,0,0
103,CCC-2008-019,CCC-2008-019,CCC,2008,2005-2009,prospective_metadata,https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009,https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-3021-de-security_nightmares_2009.mp4,1,9,4,2,3
104,CCC-2010-024,CCC-2010-024,CCC,2010,2010-2014,prospective_metadata,https://media.ccc.de/v/27c3-4111-de-eins_zwei_drei_alle_sind_dabei,https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4111-de-eins_zwei_drei_alle_sind_dabei.mp4,1,1,0,1,0
105,BHPRO-2016-04,BHPRO-2016-04,Black Hat USA,2016,2015-2018,prospective_metadata,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=l5Xcwe-MZ7Y,1,0,0,0,0
106,CCC-2017-064,CCC-2017-064,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9135-aslr_on_the_line,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9135-eng-deu-ASLR_on_the_line_hd-slides.mp4,1,0,0,0,0
107,CCC-2008-017,CCC-2008-017,CCC,2008,2005-2009,prospective_metadata,https://media.ccc.de/v/25c3-2816-en-cisco_ios_attack_and_defense,https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-2816-en-cisco_ios_attack_and_defense.mp4,1,0,0,0,0
