"frame_id","year","expected_title","source_grade","youtube_title","duration_seconds","source_url","channel","checked_at","reason"
"BHPRO-2010-10","2010","Meet the Feds // CSI: TCP/IP","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-04","2010","Microsoft Powershell - It's Time to Own","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-02","2010","Unauthorized Internet Wiretapping: Exploiting Lawful Intercept","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-01","2010","Virtual Forensics","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2010-08","2010","Wardriving the Smart Grid: Practical Approaches to Attacking Utility Packet Radios","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2011-01","2011","10th Anniversary of 9/11 and Lessons Learned for Black Hat","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2011-01","2011","Faces of Facebook—Or, How the Largest Real ID Database in the World Came to Be","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2011-02","2011","How a Hacker Has Helped Influence the Government - and Vice Versa","S3","Black Hat USA 2011 - How a Hacker Has Helped Influence the Government - and Vice Versa","3487","https://www.youtube.com/watch?v=kZk9fsQisI8","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2011-02","2011","KVM: Virtualization Under Attack","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2011-03","2011","SSL and the Future of Authenticity","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2011-04","2011","Weapons of Targeted Attack: Modern Document Exploit Techniques","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHKEY-2012-01","2012","An Interview with Neal Stephenson","S3","Black Hat USA 2012 - An Interview with Neal Stephenson","3536","https://www.youtube.com/watch?v=31rFd9JirrM","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2012-01","2012","Exploit Mitigation Improvements in Windows 8","S3","Black Hat USA 2012 - Exploit Mitigation Improvements in Windows 8","3496","https://www.youtube.com/watch?v=3NriJvra62g","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2012-02","2012","Smashing the Future for Fun and Profit","S3","Black Hat USA 2012 - Smashing the Future for Fun and Profit","3362","https://www.youtube.com/watch?v=-DddBLZE6HU","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHPRO-2012-03","2012","The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet","S3","Black Hat USA 2012 - The Myth of Twelve More Bytes: Security on Post-Scarcity Internet","3718","https://www.youtube.com/watch?v=S34b4kNUIos","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2013-01","2013","Day One Keynote","pending_archive","","0","","","2026-08-07","no official-channel title match in first search results"
"BHPRO-2013-01","2013","Password Hashing: The Future is Now","S3","Black Hat USA 2013 - Password Hashing: the Future is Now","1505","https://www.youtube.com/watch?v=fhJN44Wmiq0","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
"BHKEY-2013-02","2013","Take Risk, Don't Fail","S3","Black Hat USA 2013 Keynote - Take Risk, Don't Fail","3605","https://www.youtube.com/watch?v=X_j_WYjhNxE","Black Hat","2026-08-07","official Black Hat channel video; title matched; duration >=600 seconds"
