source_role,original_url,snapshot_date,snapshot_http_status,snapshot_availability,affected_prediction_keys,frozen_locator_capsule_sha256,publisher_candidate_url,candidate_relation,candidate_http_status_checked_2026_09_15,content_review_status,preservation_status,next_action
primary_outcome_evidence,https://www.enisa.europa.eu/publications/info-notes/spam-and-phishing-in-q3-2012,2026-09-15,404,http_not_found,41-CCC-2011-031-05;41-CCC-2011-031-06,BBC48A7A7E6BB641C00B70CA167DC80B831C16CA0600B40B1B049A07C0DC4E37,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.ftc.gov/system/files/documents/reports/big-data-growing-concern-class-action-fairness-report-workshop/big_data_growing_concern_class_action_fairness_report_workshop.pdf,2026-09-15,,network_error,131-CCC-2015-056-02,20A36CB7D8FE1D7DBAACF380AC8196028FDF8A79989BED4D3E5B6526FD3CE71D,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.ftc.gov/system/files/documents/reports/internet-things-privacy-security-connected-world/final_iot_report.pdf,2026-09-15,503,http_error,23-CCC-2018-085-02,8A38C8C5485E6189EC991AED077313B689C4DD0599D5062961501EF5710986F4,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.gao.gov/assets/gao-06-674.pdf,2026-09-15,,network_error,1-BHPRO-2005-01-06,8AEFE340494A0E1B5C04D20C6A62AD6518CA7CC0A99F703C3DBC31C0F84979BF,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.globenewswire.com/news-release/2012/09/25/492510/13741/en/HID-Global-Completes-World-s-First-Series-of-NFC-Enabled-Smartphone-Pilots-That-Open-Doors-in-the-Enterprise.html,2026-09-15,,network_error,41-CCC-2011-031-03,737AF9C8D2BB5618D09092272AB606499A8D2C2B8EE8F6880AFCF04B03853CD8,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.informationactivism.org/en/balloon-mapping-documenting-the-gulf-coast-oil-spill-and-student-protests-chile.html,2026-09-15,404,http_not_found,103-CCC-2008-019-06,8A1D890D3513AB80F2D03DE021E5491A6D603F2263232387190A63DB8971F28D,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.intel.com/content/www/us/en/products/sku/94035/intel-xeon-phi-processor-7250-16gb-1-40-ghz-68-core/specifications.html,2026-09-15,403,blocked_or_rate_limited,4-BHPRO-2014-03-03,6A8E988395545B94EDE9CA20D6AB0398CEFB70351929773F05628CE1EA461990,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.justice.gov/opa/pr/two-iranian-nationals-charged-cyber-enabled-campaign-threaten-and-influence-american-voters,2026-09-15,404,http_not_found,30-CCC-2018-076-02,98C503D441871E3F846F101512DA7AD35303DB6F6427A7504EDE5193F726BE27,https://www.justice.gov/archives/opa/pr/two-iranian-nationals-charged-cyber-enabled-disinformation-and-threat-campaign-designed,same_release_publisher_archive,200,threshold_recheck_pending,locator_and_excerpt_only_no_full_source_copy,Review exact content and frozen threshold; retain original URL
primary_outcome_evidence,https://www.ncsc.gov.uk/collection/device-security-guidance/managing-deployed-devices/updates,2026-09-15,404,http_not_found,59-CCC-2016-060-01,A26E6FD6AC0064E119142746A3D8A3065C0E0464D16373FA83CB7AFEC7913B75,https://www.ncsc.gov.uk/collection/device-security-guidance/managing-deployed-devices/keeping-devices-and-software-up-to-date,related_official_guidance_not_same_page,200,threshold_recheck_pending,locator_and_excerpt_only_no_full_source_copy,Review exact content and frozen threshold; retain original URL
primary_outcome_evidence,https://www.nhtsa.gov/technology-innovation/automated-vehicles-safety,2026-09-15,403,blocked_or_rate_limited,123-CCC-2014-048-02,4761AEC964B74D6F2FD91B65FB190D522E6046433503FEBFBC9CFDFBE2895F2C,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
primary_outcome_evidence,https://www.radicati.com/wp/wp-content/uploads/2015/02/Email-Statistics-Report-2015-2019-Executive-Summary.pdf,2026-09-15,,network_error,11-CCC-2005-002-09,F0BD680E55BE8124E847A85F86ACA56805AA20AF234E0A79EB8EF6B9DF50CD3A,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://attack.mitre.org/evaluations/enterprise/,2026-09-15,404,http_not_found,31-VB-2016-P01-08;31-VB-2016-P01-09,9820882A760385581A4D16CC1B88EB1C1E9D54E82624471A9CC62E73E135C61C,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://colab.ws/articles/10.1145%2F1878431.1878446,2026-09-15,403,blocked_or_rate_limited,70-CCC-2009-021-02,28C0AC919CF6409197D81310666436362E11EEEE5ED0A42F4336ACAFAB24BCD4,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://consumer.huawei.com/en/press/news/2014/ifa2014-mate7/,2026-09-15,404,http_not_found,34-CCC-2013-034-10,E0D9970B625EABE6E97B2D574A91F2186FA9BEF39E65A2E6BA6B480B59F5E10F,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://dserver.bundestag.de/btd/17/077/1707746.pdf,2026-09-15,400,http_error,104-CCC-2010-024-01,195BF27BD11911F0925D6A0A14E6C67A6737E4CEA6FB6DB89EDB590D9A6E0779,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://journals.sagepub.com/doi/10.1177/0306422016643031,2026-09-15,403,blocked_or_rate_limited,131-CCC-2015-056-02,20A36CB7D8FE1D7DBAACF380AC8196028FDF8A79989BED4D3E5B6526FD3CE71D,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://news.samsung.com/global/samsung-galaxy-s-iii-designed-for-humans-and-inspired-by-nature,2026-09-15,403,blocked_or_rate_limited,41-CCC-2011-031-07,567B2BB801C9626C13DBD6271CBCD9A456BF3FFB3F19C93C815D4F9690F6868F,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://pressroom.toyota.com/?generate_pdf=10570,2026-09-15,403,blocked_or_rate_limited,20-CCC-2012-033-01,3AF59DB5A3C54122F645DFCCA5388C3992A3C515737FEA98CA7A4A825A556AF1,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://securelist.com/spam-in-2012/36683/,2026-09-15,,network_error,41-CCC-2011-031-05,1DCF7DEE90E0A476AB3680D8EE567AF458FD1DE9908453E8131155C9D1CE04A4,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://support.google.com/chrome/a/answer/7679408,2026-09-15,404,http_not_found,59-CCC-2016-060-01,A26E6FD6AC0064E119142746A3D8A3065C0E0464D16373FA83CB7AFEC7913B75,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://trai.gov.in/sites/default/files/Regulation_Data_Service.pdf,2026-09-15,,network_error,131-CCC-2015-056-03,84DC49C2E978BAD608E3F35A8BEFD94106C942C1D5806C90A07538FD1CF4BEA2,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://usa.visa.com/support/consumer/visa-rules.html,2026-09-15,403,blocked_or_rate_limited,44-VB-2015-P02-01,B6577D086C3B3F6CB3195E6235E4F2FFB355373EA6E55F53CE3B7AAEE5568836,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://waymo.com/blog/2015/05/google-self-driving-car-project,2026-09-15,404,http_not_found,123-CCC-2014-048-02,4761AEC964B74D6F2FD91B65FB190D522E6046433503FEBFBC9CFDFBE2895F2C,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.adobe.com/support/security/advisories/apsa08-08.html,2026-09-15,,network_error,111-CCC-2007-014-03,610E0245DDADBE5F45255633DF211A86C8EDEB64C81C3B3D8667B040E502533C,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.bfdi.bund.de/SharedDocs/Downloads/DE/Taetigkeitsberichte/23TB_09_10.pdf?__blob=publicationFile&v=5,2026-09-15,,network_error,70-CCC-2009-021-01,B159C03170949AAA8EDD61724FEC5177061D52042E0BF763C4C998A6624FD0FE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.bundestag.de/resource/blob/412372/479d45f0586c5ce47d531ffe0b683131/wd-3-248-12-pdf-data.pdf,2026-09-15,400,http_error,39-CCC-2006-011-01,B11D3CAF828622F5D02DD94BE807DE2DCD24C2C33379CBA7A9C609C9F25294CA,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.caida.org/catalog/datasets/ipv6_dnsnames/,2026-09-15,404,http_not_found,51-BHPRO-2012-03-05,155968AEF0BBAFDA46D19793059A3756A9929704A93FA503180A101C149A5A0A,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/CampIPv6.html,2026-09-15,403,blocked_or_rate_limited,51-BHPRO-2012-03-01,C71D8FC8237BED2FB221D857F7D5A4F7E12757937E87505BA2F95588806CC19D,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.congress.gov/bill/109th-congress/senate-bill/1789,2026-09-15,403,blocked_or_rate_limited,1-BHPRO-2005-01-06,8AEFE340494A0E1B5C04D20C6A62AD6518CA7CC0A99F703C3DBC31C0F84979BF,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.congress.gov/bill/115th-congress/senate-bill/2261,2026-09-15,403,blocked_or_rate_limited,126-CCC-2016-058-01,731CF052E15D96819E60149D95DDCFC6204AE2CB581DD57C2B3E2191DAD9B852,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.congress.gov/bill/116th-congress/senate-bill/1540,2026-09-15,403,blocked_or_rate_limited,30-CCC-2018-076-08,E9E3E7EC7DB2381450D6C7909CE817658916237FBC81F7845F1978F178889956,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.darkreading.com/cyberattacks-data-breaches/koobface-worm-targets-myspace-other-sites,2026-09-15,403,blocked_or_rate_limited,111-CCC-2007-014-04,564F0F7EE4F52E28019228F850E349CF31D03C2CB40AFFEEA7575155E696CD00,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.dni.gov/files/ODNI/documents/assessments/ICA-declass-16MAR21.pdf,2026-09-15,403,blocked_or_rate_limited,30-CCC-2018-076-02,98C503D441871E3F846F101512DA7AD35303DB6F6427A7504EDE5193F726BE27,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.eff.org/deeplinks/2015/08/windows-10-microsoft-blatantly-disregards-user-choice-and-privacy-deep-dive,2026-09-15,404,http_not_found,123-CCC-2014-048-01,89BA8D5576F07E387F115DBB9DFB4FFA86E208174722B569D84FFFC44E345BE1,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.emsec.ruhr-uni-bochum.de/research/publications/Keeloq/,2026-09-15,,network_error,111-CCC-2007-014-02,833FE43BFCCB28F0B2FFF1AF11D68319CC555233EF61573073C6202B549E53FE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.gao.gov/products/gao-12-961,2026-09-15,403,blocked_or_rate_limited,103-CCC-2008-019-01,8131D9D3B666C7B07D244BD1C09CEC8CB2D4C8A163F5E050B430415BDFFDE464,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.icann.org/en/announcements/details/new-gtld-collision-occurrence-management-plan-frequently-asked-questions-3-12-2013-en,2026-09-15,,network_error,51-BHPRO-2012-03-08,AB7EB131DBFFF298E371B7DD9E9D30A72746D4C6E719B51E9B6AF4F42511A3F2,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.intel.com/content/www/us/en/developer/articles/technical/intel-avx-512-instructions.html,2026-09-15,403,blocked_or_rate_limited,4-BHPRO-2014-03-03,6A8E988395545B94EDE9CA20D6AB0398CEFB70351929773F05628CE1EA461990,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.mckinsey.com/~/media/mckinsey/business%20functions/risk/our%20insights/mckinsey-on-risk-number-18/mckinsey-on-risk-and-resilience-issue-18.pdf,2026-09-15,,network_error,93-BHKEY-2015-01-01,A0E01F236267258CB68E047051A39B375FF4E30A5DAE6E0AAED0E26136F4F67F,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.sec.gov/Archives/edgar/data/1644675/000119312516602289/d151376d20f.htm,2026-09-15,403,blocked_or_rate_limited,11-CCC-2005-002-09,F0BD680E55BE8124E847A85F86ACA56805AA20AF234E0A79EB8EF6B9DF50CD3A,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.securityweek.com/security-mergers-and-acquisitions/,2026-09-15,404,http_not_found,31-VB-2016-P01-02,20C98E6258BFF3023D0F33B6B84102BDA0B637412EE6FDA29C902D9074A25F42,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
secondary_outcome_evidence,https://www.usitc.gov/publications/332/pub4481.pdf,2026-09-15,403,blocked_or_rate_limited,27-CCC-2012-032-01,DBACFB770F0611B4C6E95E99543AFA640F00ECBDA5D5795C5D812D9414DE3BAE,,,,not_reviewed,locator_and_excerpt_only_no_full_source_copy,Search publisher archive or independent archive; do not infer missing outcome
