"master_order","frame_id","venue","year","title","session_type","selection_stratum","official_program_url","content_url","metadata_horizon_status","prior_status","source_grade"
"19","BHPRO-2010-04","Black Hat USA","2010","Microsoft Powershell - It's Time to Own","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"20","BHPRO-2010-05","Black Hat USA","2010","Exploiting Timing Attacks in Widespread Systems","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"21","BHPRO-2010-06","Black Hat USA","2010","App Attack: Surviving the Mobile Application Explosion","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"22","BHPRO-2010-07","Black Hat USA","2010","Changing Threats To Privacy: From TIA To Google","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"23","BHPRO-2010-08","Black Hat USA","2010","Wardriving the Smart Grid: Practical Approaches to Attacking Utility Packet Radios","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"24","BHPRO-2010-09","Black Hat USA","2010","Fast & Furious Reverse Engineering with TitanEngine","briefing","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"25","BHPRO-2010-10","Black Hat USA","2010","Meet the Feds // CSI: TCP/IP","panel","prospective_metadata","https://blackhat.com/html/bh-us-10/bh-us-10-briefings.html","","","enumerated","pending_archive"
"26","BHKEY-2011-01","Black Hat USA","2011","10th Anniversary of 9/11 and Lessons Learned for Black Hat","keynote","keynote","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","pending_blind_recoder_and_primary_source","pending_archive"
"27","BHKEY-2011-02","Black Hat USA","2011","How a Hacker Has Helped Influence the Government - and Vice Versa","keynote","keynote","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","zero","S3"
"28","BHPRO-2011-01","Black Hat USA","2011","Faces of Facebook—Or, How the Largest Real ID Database in the World Came to Be","briefing","prospective_metadata","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","enumerated","pending_archive"
"29","BHPRO-2011-02","Black Hat USA","2011","KVM: Virtualization Under Attack","briefing","prospective_metadata","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","enumerated","pending_archive"
"30","BHPRO-2011-03","Black Hat USA","2011","SSL and the Future of Authenticity","briefing","prospective_metadata","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","enumerated","pending_archive"
"31","BHPRO-2011-04","Black Hat USA","2011","Weapons of Targeted Attack: Modern Document Exploit Techniques","briefing","prospective_metadata","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","","","enumerated","pending_archive"
"32","BHKEY-2012-01","Black Hat USA","2012","An Interview with Neal Stephenson","keynote","keynote","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","","","zero","S3"
"33","BHPRO-2012-01","Black Hat USA","2012","Exploit Mitigation Improvements in Windows 8","briefing","prospective_metadata","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","","","enumerated","S3"
"34","BHPRO-2012-02","Black Hat USA","2012","Smashing the Future for Fun and Profit","prospective_panel","prospective_metadata","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","","","enumerated_unexpired_already_screened","S3"
"35","BHPRO-2012-03","Black Hat USA","2012","The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet","briefing","prospective_metadata","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","","","enumerated","S3"
"36","BHKEY-2013-01","Black Hat USA","2013","Day One Keynote","keynote","keynote","https://blackhat.com/us-13/archives.html","","","zero","pending_archive"
"37","BHKEY-2013-02","Black Hat USA","2013","Take Risk, Don't Fail","keynote","keynote","https://blackhat.com/us-13/archives.html","","","zero","S3"
"38","BHPRO-2013-01","Black Hat USA","2013","Password Hashing: The Future is Now","briefing","prospective_metadata","https://blackhat.com/us-13/archives.html","","","enumerated","S3"
"39","BHKEY-2014-01","Black Hat USA","2014","Cybersecurity as Realpolitik","keynote","keynote","https://blackhat.com/us-14/archives.html","","","zero","S3"
"40","BHPRO-2014-01","Black Hat USA","2014","A Survey of Remote Automotive Attack Surfaces","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"41","BHPRO-2014-02","Black Hat USA","2014","Call to Arms: A Tale of the Weaknesses of Current Client-Side XSS Filtering","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"42","BHPRO-2014-03","Black Hat USA","2014","Capstone: Next Generation Disassembly Framework","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"43","BHPRO-2014-04","Black Hat USA","2014","GRR: Find All the Badness, Collect All the Things","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"44","BHPRO-2014-05","Black Hat USA","2014","Learn How to Control Every Room at a Luxury Hotel Remotely: The Dangers of Insecure Home Automation Deployment","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"45","BHPRO-2014-06","Black Hat USA","2014","Leviathan: Command and Control Communications on Planet Earth","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","pending_manual"
"46","BHPRO-2014-07","Black Hat USA","2014","Poacher Turned Gamekeeper: Lessons Learned from Eight Years of Breaking Hypervisors","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"47","BHPRO-2014-08","Black Hat USA","2014","Saving Cyberspace","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"48","BHPRO-2014-09","Black Hat USA","2014","Why You Need to Detect More Than PtH","briefing","prospective_metadata","https://blackhat.com/us-14/archives.html","","","enumerated","S3"
"49","BHKEY-2015-01","Black Hat USA","2015","The Lifecycle of a Revolution","keynote","keynote","https://blackhat.com/us-15/briefings.html","","","excluded_horizon_not_expired","S3"
"50","BHPRO-2015-01","Black Hat USA","2015","Hidden Risks of Biometric Identifiers and How to Avoid Them","briefing","prospective_metadata","https://blackhat.com/us-15/briefings.html","","","enumerated","S3"
"51","BHPRO-2015-02","Black Hat USA","2015","Information Access and Information Sharing: Where We are and Where We are Going","briefing","prospective_metadata","https://blackhat.com/us-15/briefings.html","","","enumerated","S3"
"52","BHKEY-2016-01","Black Hat USA","2016","The Hidden Architecture of our Time: Why This Internet Worked, How We Could Lose It, and the Role Hackers Play","keynote","keynote","https://blackhat.com/us-16/briefings.html","","","excluded_no_expired_scorable_prediction","S3"
"53","BHPRO-2016-01","Black Hat USA","2016","Bad for Enterprise: Attacking BYOD Enterprise Mobile Security Solutions","briefing","prospective_metadata","https://blackhat.com/us-16/briefings.html","","","enumerated","S3"
"54","BHPRO-2016-02","Black Hat USA","2016","Hacking Next-Gen ATMs: From Capture to Cashout","briefing","prospective_metadata","https://blackhat.com/us-16/briefings.html","","","enumerated","S3"
"55","BHPRO-2016-03","Black Hat USA","2016","Keystone Engine: Next Generation Assembler Framework","briefing","prospective_metadata","https://blackhat.com/us-16/briefings.html","","","enumerated","S3"
"56","BHPRO-2016-04","Black Hat USA","2016","Next-Generation of Exploit Kit Detection by Building Simulated Obfuscators","briefing","prospective_metadata","https://blackhat.com/us-16/briefings.html","","","enumerated","S3"
"57","BHPRO-2016-05","Black Hat USA","2016","The Year in Flash","briefing","prospective_metadata","https://blackhat.com/us-16/briefings.html","","","enumerated","S3"
"58","BHKEY-2017-01","Black Hat USA","2017","Stepping Up Our Game: Re-focusing the Security Community on Defense and Making Security Work for Everyone","keynote","keynote","https://blackhat.com/us-17/briefings.html","","","zero","S3"
"59","BHPRO-2017-01","Black Hat USA","2017","Fad or Future? Getting Past the Bug Bounty Hype","panel","prospective_metadata","https://blackhat.com/us-17/briefings.html","","","enumerated","S3"
"60","BHPRO-2017-02","Black Hat USA","2017","Influencing the Market to Improve Security","fireside_chat","prospective_metadata","https://blackhat.com/us-17/briefings.html","","","enumerated","pending_manual"
"61","BHPRO-2017-03","Black Hat USA","2017","The Avalanche Takedown: Landslide for Law Enforcement","briefing","prospective_metadata","https://blackhat.com/us-17/briefings.html","","","enumerated","S3"
"62","BHPRO-2017-04","Black Hat USA","2017","The Epocholypse 2038: What's in Store for the Next 20 Years","briefing","prospective_metadata","https://blackhat.com/us-17/briefings.html","","","enumerated_unexpired","S3"
"63","BHPRO-2017-05","Black Hat USA","2017","The Future of ApplePwn - How to Save Your Money","briefing","prospective_metadata","https://blackhat.com/us-17/briefings.html","","","enumerated","S3"
"64","BHKEY-2018-01","Black Hat USA","2018","Optimistic Dissatisfaction with the Status Quo: Steps We Must Take to Improve Security in Complex Landscapes","keynote","keynote","https://blackhat.com/us-18/briefings.html","","","zero","S3"
"65","BHPRO-2018-01","Black Hat USA","2018","A Brief History of Mitigation: The Path to EL1 in iOS 11","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"66","BHPRO-2018-02","Black Hat USA","2018","Applied Self-Driving Car Security","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","pending_manual"
"67","BHPRO-2018-03","Black Hat USA","2018","New Norms and Policies in Cyber-Diplomacy","panel","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"68","BHPRO-2018-04","Black Hat USA","2018","New Trends in Browser Exploitation: Attacking Client-Side JIT Compilers","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"69","BHPRO-2018-05","Black Hat USA","2018","Outsmarting the Smart City","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"70","BHPRO-2018-06","Black Hat USA","2018","Protecting the Protector: Hardening Machine Learning Defenses Against Adversarial Attacks","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"71","BHPRO-2018-07","Black Hat USA","2018","Re:ROSE - A New Tool for Creating Malicious and Phishing Emails","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","pending_manual"
"72","BHPRO-2018-08","Black Hat USA","2018","The Problems and Promise of WebAssembly","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"73","BHPRO-2018-09","Black Hat USA","2018","There will be Glitches: Extracting and Analyzing Automotive Firmware Efficiently","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"74","BHPRO-2018-10","Black Hat USA","2018","TLBleed: When Protecting Your CPU Caches is Not Enough","briefing","prospective_metadata","https://blackhat.com/us-18/briefings.html","","","enumerated","S3"
"75","CCC-2005-001","CCC","2005","Hacking health","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-489-en-hacking_health","https://media.ccc.de/v/22C3-489-en-hacking_health","explicit_future_year_in_metadata","enumerated","S3"
"76","CCC-2005-002","CCC","2005","We lost the war","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-920-en-we_lost_the_war","https://media.ccc.de/v/22C3-920-en-we_lost_the_war","unbounded_in_metadata","enumerated","S3"
"77","CCC-2005-003","CCC","2005","Corp vs. Corp","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-423-en-corp_vs_corp","https://media.ccc.de/v/22C3-423-en-corp_vs_corp","unbounded_in_metadata","enumerated","S3"
"78","CCC-2005-004","CCC","2005","Learning cryptography through handcyphers","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-469-en-learning_cryptography","https://media.ccc.de/v/22C3-469-en-learning_cryptography","unbounded_in_metadata","enumerated","S3"
"79","CCC-2005-005","CCC","2005","The Future Challenges for a Hacker","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-1295-en-future_challenges","https://media.ccc.de/v/22C3-1295-en-future_challenges","unbounded_in_metadata","enumerated","S3"
"80","CCC-2005-006","CCC","2005","Security Nightmares 2006","prospective_session","prospective_metadata","https://media.ccc.de/v/22C3-600-de-security_nightmares","https://media.ccc.de/v/22C3-600-de-security_nightmares","explicit_future_year_in_metadata","enumerated","S3"
"81","CCC-2006-007","CCC","2006","A Hacker's Toolkit for RFID Emulation and Jamming","prospective_session","prospective_metadata","https://media.ccc.de/v/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming","https://media.ccc.de/v/23C3-1597-en-hackers_toolkit_for_rfid_emulation_and_jamming","unbounded_in_metadata","enumerated","S3"
"82","CCC-2006-008","CCC","2006","Vehicular Communication and VANETs","prospective_session","prospective_metadata","https://media.ccc.de/v/23C3-1608-en-vehicular_communication_and_vanets","https://media.ccc.de/v/23C3-1608-en-vehicular_communication_and_vanets","unbounded_in_metadata","enumerated","S3"
"83","CCC-2006-009","CCC","2006","SIP Security","prospective_session","prospective_metadata","https://media.ccc.de/v/23C3-1459-en-sip_security","https://media.ccc.de/v/23C3-1459-en-sip_security","unbounded_in_metadata","enumerated","S3"
"84","CCC-2006-010","CCC","2006","Automated Botnet Detection and Mitigation","prospective_session","prospective_metadata","https://media.ccc.de/v/23C3-1342-en-botnet_detection","https://media.ccc.de/v/23C3-1342-en-botnet_detection","explicit_future_year_in_metadata","enumerated","S3"
"85","CCC-2006-011","CCC","2006","Security Nightmares 2007","prospective_session","prospective_metadata","https://media.ccc.de/v/23C3-1682-de-security_nightmares","https://media.ccc.de/v/23C3-1682-de-security_nightmares","explicit_future_year_in_metadata","enumerated","S3"
"86","CCC-2007-012","CCC","2007","VX","prospective_session","prospective_metadata","https://media.ccc.de/v/24c3-2233-en-vx","https://media.ccc.de/v/24c3-2233-en-vx","unbounded_in_metadata","enumerated","S3"
"87","CCC-2007-013","CCC","2007","EU Policy on RFID & Privacy","prospective_session","prospective_metadata","https://media.ccc.de/v/24c3-2396-en-eu_rfid_policy","https://media.ccc.de/v/24c3-2396-en-eu_rfid_policy","explicit_future_year_in_metadata","enumerated","S3"
"88","CCC-2007-014","CCC","2007","Security Nightmares 2008","prospective_session","prospective_metadata","https://media.ccc.de/v/24c3-2336-de-security_nightmares","https://media.ccc.de/v/24c3-2336-de-security_nightmares","explicit_future_year_in_metadata","enumerated","S3"
"89","CCC-2008-015","CCC","2008","25C3 Opening and Keynote ""Nothing to hide""","keynote","keynote","https://media.ccc.de/v/25c3-3025-en-opening_and_keynote_nothing_to_hide","https://media.ccc.de/v/25c3-3025-en-opening_and_keynote_nothing_to_hide","unknown_until_source_screening","enumerated","S3"
"90","CCC-2008-016","CCC","2008","Embracing Post-Privacy","prospective_session","prospective_metadata","https://media.ccc.de/v/25c3-2979-en-embracing_post-privacy","https://media.ccc.de/v/25c3-2979-en-embracing_post-privacy","unbounded_in_metadata","enumerated","S3"
"91","CCC-2008-017","CCC","2008","Cisco IOS attack and defense","prospective_session","prospective_metadata","https://media.ccc.de/v/25c3-2816-en-cisco_ios_attack_and_defense","https://media.ccc.de/v/25c3-2816-en-cisco_ios_attack_and_defense","unbounded_in_metadata","enumerated","S3"
"92","CCC-2008-018","CCC","2008","Security and anonymity vulnerabilities in Tor","prospective_session","prospective_metadata","https://media.ccc.de/v/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor","https://media.ccc.de/v/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor","unbounded_in_metadata","enumerated","S3"
"93","CCC-2008-019","CCC","2008","Security Nightmares 2009","prospective_session","prospective_metadata","https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009","https://media.ccc.de/v/25c3-3021-de-security_nightmares_2009","explicit_future_year_in_metadata","enumerated","S3"
"94","CCC-2009-020","CCC","2009","Building a Debugger","prospective_session","prospective_metadata","https://media.ccc.de/v/26c3-3490-en-building_a_debugger","https://media.ccc.de/v/26c3-3490-en-building_a_debugger","unbounded_in_metadata","enumerated","S3"
"95","CCC-2009-021","CCC","2009","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/26c3-3687-de-security_nightmares","https://media.ccc.de/v/26c3-3687-de-security_nightmares","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"96","CCC-2010-022","CCC","2010","27C3 Keynote","keynote","keynote","https://media.ccc.de/v/27c3-4302-en-27c3_keynote_we_come_in_peace","https://media.ccc.de/v/27c3-4302-en-27c3_keynote_we_come_in_peace","unknown_until_source_screening","enumerated","S3"
"97","CCC-2010-023","CCC","2010","Data Retention in the EU five years after the Directive","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4190-en-data_retention_in_the_eu","https://media.ccc.de/v/27c3-4190-en-data_retention_in_the_eu","explicit_future_year_in_metadata","enumerated","S3"
"98","CCC-2010-024","CCC","2010","Eins, zwei, drei - alle sind dabei","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4111-de-eins_zwei_drei_alle_sind_dabei","https://media.ccc.de/v/27c3-4111-de-eins_zwei_drei_alle_sind_dabei","explicit_future_year_in_metadata","enumerated","S3"
"99","CCC-2010-025","CCC","2010","Hacking iButtons","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4176-de-hacking_ibuttons","https://media.ccc.de/v/27c3-4176-de-hacking_ibuttons","unbounded_in_metadata","enumerated","S3"
"100","CCC-2010-026","CCC","2010","Defense is not dead","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4123-en-defense_is_not_dead","https://media.ccc.de/v/27c3-4123-en-defense_is_not_dead","unbounded_in_metadata","enumerated","S3"
"101","CCC-2010-027","CCC","2010","Ignorance and Peace Narratives in Cyberspace","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace","https://media.ccc.de/v/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace","unbounded_in_metadata","enumerated","S3"
"102","CCC-2010-028","CCC","2010","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/27c3-4230-de-security_nightmares","https://media.ccc.de/v/27c3-4230-de-security_nightmares","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"103","CCC-2011-029","CCC","2011","The movements against state-controlled Internet in Turkey","prospective_session","prospective_metadata","https://media.ccc.de/v/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey","https://media.ccc.de/v/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey","unbounded_in_metadata","enumerated","S3"
"104","CCC-2011-030","CCC","2011","The future of cryptology: which 3 letters algorithm(s) could be our Titanic?","prospective_session","prospective_metadata","https://media.ccc.de/v/28c3-4710-en-the_future_of_cryptology","https://media.ccc.de/v/28c3-4710-en-the_future_of_cryptology","unbounded_in_metadata","enumerated","S3"
"105","CCC-2011-031","CCC","2011","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/28c3-4898-de-security_nightmares","https://media.ccc.de/v/28c3-4898-de-security_nightmares","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"106","CCC-2012-032","CCC","2012","Defend your Freedoms Online: It's Political, Stupid!","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264","https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264","unbounded_in_metadata","enumerated","S3"
"107","CCC-2012-033","CCC","2012","Privacy and the Car of the Future","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264","https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264","unbounded_in_metadata","enumerated","S3"
"108","CCC-2012-034","CCC","2012","Re-igniting the Crypto Wars on the Web","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5374-en-re_igniting_the_crypto_wars_on_the_web_h264","https://media.ccc.de/v/29c3-5374-en-re_igniting_the_crypto_wars_on_the_web_h264","explicit_future_year_in_metadata","enumerated","S3"
"109","CCC-2012-035","CCC","2012","Security Evaluation of Russian GOST Cipher","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5225-en-security_evaluation_of_russian_gost_cipher_h264","https://media.ccc.de/v/29c3-5225-en-security_evaluation_of_russian_gost_cipher_h264","unbounded_in_metadata","enumerated","S3"
"110","CCC-2012-036","CCC","2012","The future of protocol reversing and simulation applied on ZeroAccess botnet","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5256-en-the_future_of_protocol_reversing_and_simulation_h264","https://media.ccc.de/v/29c3-5256-en-the_future_of_protocol_reversing_and_simulation_h264","unbounded_in_metadata","enumerated","S3"
"111","CCC-2012-037","CCC","2012","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/29c3-5244-de-en-security_nightmares2012_h264","https://media.ccc.de/v/29c3-5244-de-en-security_nightmares2012_h264","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"112","CCC-2013-038","CCC","2013","30C3 Keynote","keynote","keynote","https://media.ccc.de/v/30C3_-_5622_-_en_-_saal_1_-_201312271930_-_30c3_keynote_-_glenn_greenwald_-_frank","https://media.ccc.de/v/30C3_-_5622_-_en_-_saal_1_-_201312271930_-_30c3_keynote_-_glenn_greenwald_-_frank","unknown_until_source_screening","enumerated","S3"
"113","CCC-2013-039","CCC","2013","IFGINT","prospective_session","prospective_metadata","https://media.ccc.de/v/30C3_-_5509_-_de_-_saal_6_-_201312271600_-_ifgint_-_stefan_wehrmeyer","https://media.ccc.de/v/30C3_-_5509_-_de_-_saal_6_-_201312271600_-_ifgint_-_stefan_wehrmeyer","explicit_future_year_in_metadata","enumerated","S3"
"114","CCC-2013-040","CCC","2013","Security of the IC Backside","prospective_session","prospective_metadata","https://media.ccc.de/v/30C3_-_5459_-__-_saal_1_-_201312282145_-_security_of_the_ic_backside_-_nedos","https://media.ccc.de/v/30C3_-_5459_-__-_saal_1_-_201312282145_-_security_of_the_ic_backside_-_nedos","unbounded_in_metadata","enumerated","S3"
"115","CCC-2013-041","CCC","2013","The Gospel of IRMA","prospective_session","prospective_metadata","https://media.ccc.de/v/30C3_-_5214_-_en_-_saal_1_-_201312281130_-_the_gospel_of_irma_-_jaap-henk_hoepman","https://media.ccc.de/v/30C3_-_5214_-_en_-_saal_1_-_201312281130_-_the_gospel_of_irma_-_jaap-henk_hoepman","unbounded_in_metadata","enumerated","S3"
"116","CCC-2013-042","CCC","2013","WarGames in memory","prospective_session","prospective_metadata","https://media.ccc.de/v/30C3_-_5223_-_en_-_saal_6_-_201312292030_-_wargames_in_memory_-_gannimo","https://media.ccc.de/v/30C3_-_5223_-_en_-_saal_6_-_201312292030_-_wargames_in_memory_-_gannimo","unbounded_in_metadata","enumerated","S3"
"117","CCC-2013-043","CCC","2013","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron","https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"118","CCC-2014-044","CCC","2014","31C3 Keynote","keynote","keynote","https://media.ccc.de/v/31c3_-_6571_-_en_-_saal_1_-_201412271130_-_31c3_keynote_-_alecempire","https://media.ccc.de/v/31c3_-_6571_-_en_-_saal_1_-_201412271130_-_31c3_keynote_-_alecempire","unknown_until_source_screening","enumerated","S3"
"119","CCC-2014-045","CCC","2014","The automobile as massive data gathering source and the consequences for individual privacy","prospective_session","prospective_metadata","https://media.ccc.de/v/31c3_-_6265_-_en_-_saal_6_-_201412281600_-_the_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_-_jimmy_schulz_-_dr_rudiger_hanig","https://media.ccc.de/v/31c3_-_6265_-_en_-_saal_6_-_201412281600_-_the_automobile_as_massive_data_gathering_source_and_the_consequences_for_individual_privacy_-_jimmy_schulz_-_dr_rudiger_hanig","unbounded_in_metadata","enumerated","S3"
"120","CCC-2014-046","CCC","2014","The Matter of Heartbleed","prospective_session","prospective_metadata","https://media.ccc.de/v/31c3_-_6321_-_en_-_saal_1_-_201412282300_-_the_matter_of_heartbleed_-_zakir_durumeric","https://media.ccc.de/v/31c3_-_6321_-_en_-_saal_1_-_201412282300_-_the_matter_of_heartbleed_-_zakir_durumeric","unbounded_in_metadata","enumerated","S3"
