"selection_order","round","cell_order","cell","frame_id","venue","year","period","title","session_type","selection_stratum","selection_hash","official_program_url","content_url"
"11","2","2","2005-2009 | CCC","CCC-2005-002","CCC","2005","2005-2009","We lost the war","prospective_session","prospective_metadata","018c982ec96339e03262c76792b7bf8dd2ce36e809c6eec937e5103635d4f4aa","https://media.ccc.de/v/22C3-920-en-we_lost_the_war","https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-920-en-we_lost_the_war.m4v"
"12","2","4","2010-2014 | Black Hat USA","BHKEY-2013-02","Black Hat USA","2013","2010-2014","Take Risk, Don't Fail","keynote","keynote","15b56a00d78828cf9c1f5f88b3d07c9e4d0da426213804649f0110cf05e37c5f","https://blackhat.com/us-13/archives.html","https://www.youtube.com/watch?v=X_j_WYjhNxE"
"13","2","5","2010-2014 | CCC","CCC-2011-029","CCC","2011","2010-2014","The movements against state-controlled Internet in Turkey","prospective_session","prospective_metadata","0a4f8985f5828a61386bf7db854eefc3309f34a8ba74f59f88454362094f2863","https://media.ccc.de/v/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey","https://cdn.media.ccc.de/congress/2011/ogg-audio-only/28c3-4753-en-the_movement_against_state_controlled_internet_in_turkey.ogg"
"14","2","6","2010-2014 | Virus Bulletin","VB-2014-P01","Virus Bulletin","2014","2010-2014","We know it before you do: predicting malicious domains","prospective_session","prospective_metadata","60992c70f514d25b1c478e00bd206f989188fd4f84ccb0bee5c592966e659494","https://www.virusbulletin.com/conference/vb2014/programme/","https://www.youtube.com/watch?v=4CTl4f5eQS0"
"15","2","7","2015-2018 | Black Hat USA","BHKEY-2018-01","Black Hat USA","2018","2015-2018","Optimistic Dissatisfaction with the Status Quo: Steps We Must Take to Improve Security in Complex Landscapes","keynote","keynote","07a604766a142bb2f1e3c6140fd8752696be166bb9c63c295fad58f4b2ff6515","https://blackhat.com/us-18/briefings.html","https://www.youtube.com/watch?v=py2qmGbyhlw"
"16","2","8","2015-2018 | CCC","CCC-2018-077","CCC","2018","2015-2018","SD-WAN a New Hop","prospective_session","prospective_metadata","070cbfd06d427732243558a2a495358e4dac7ba732720418919df73669a305a4","https://media.ccc.de/v/35c3-9446-sd-wan_a_new_hop","https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9446-eng-deu-fra-SD-WAN_a_New_Hop_hd.mp4"
"17","2","9","2015-2018 | Virus Bulletin","VB-2015-K01","Virus Bulletin","2015","2015-2018","The Internet of Bad Things, Observed","keynote","keynote","856078b33cb05b9c3920ddeb1aae9e958d7215ecef069fd866ce593c0901e293","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.youtube.com/watch?v=FY2YKxBxOkg"
"18","3","2","2005-2009 | CCC","CCC-2008-018","CCC","2008","2005-2009","Security and anonymity vulnerabilities in Tor","prospective_session","prospective_metadata","1ad9971c4d694678889c165b769e77af2bd7618be710d4ad10a81b09a9b4ccef","https://media.ccc.de/v/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor","https://cdn.media.ccc.de/congress/2008/video_h264_720x576/25c3-2977-en-security_and_anonymity_vulnerabilities_in_tor.mp4"
"19","3","4","2010-2014 | Black Hat USA","BHPRO-2013-01","Black Hat USA","2013","2010-2014","Password Hashing: The Future is Now","briefing","prospective_metadata","204a26503d7e5d78b039c7ecfa979642e34f03d94895ca09b9d7a4a92bed4e60","https://blackhat.com/us-13/archives.html","https://www.youtube.com/watch?v=fhJN44Wmiq0"
"20","3","5","2010-2014 | CCC","CCC-2012-033","CCC","2012","2010-2014","Privacy and the Car of the Future","prospective_session","prospective_metadata","0b69367a164519acdd8e38ca20f24f0ceeec8828a9a0d33abd62a5f970a5f2cc","https://media.ccc.de/v/29c3-5095-en-privacy_and_the_car_of_the_future_h264","https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5095-en-privacy_and_the_car_of_the_future_h264.mp4"
"21","3","6","2010-2014 | Virus Bulletin","VB-2012-K01","Virus Bulletin","2012","2010-2014","The trade in security exploits: free speech or weapons in need of regulation","keynote","keynote","9cb6644447aba632dab990d72e9b564aabf4f5381d46e04a6d6e0744f96928c9","https://www.virusbulletin.com/conference/vb2012/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2012/Soghoian-VB2012.pdf"
"22","3","7","2015-2018 | Black Hat USA","BHPRO-2018-05","Black Hat USA","2018","2015-2018","Outsmarting the Smart City","briefing","prospective_metadata","0c9ff367204ad1b171a54d1e87f301407ea871e9b3fe092422ae6d5903280f08","https://blackhat.com/us-18/briefings.html","https://www.youtube.com/watch?v=Opjb5hPlxtY"
"23","3","8","2015-2018 | CCC","CCC-2018-085","CCC","2018","2015-2018","Security Nightmares 0x13","prospective_session","prospective_metadata","0c2342d096179987abd9794385ce7cd067659715ad70392d8ceea7b6674fd3d2","https://media.ccc.de/v/35c3-9685-security_nightmares_0x13","https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9685-fra-Security_Nightmares_0x13.mp4"
"24","3","9","2015-2018 | Virus Bulletin","VB-2015-K02","Virus Bulletin","2015","2015-2018","One man's anti-malware researcher is...","keynote","keynote","b151ae7584299f9b9e88e60cb9b9b7830520e119db95efe8ad8765a635b27478","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.youtube.com/watch?v=Pne5zQU0qpQ"
"25","4","2","2005-2009 | CCC","CCC-2007-013","CCC","2007","2005-2009","EU Policy on RFID & Privacy","prospective_session","prospective_metadata","468fbe6ef7f510729c2c5ebbc18f11510696c60b5acecf38f0cef6673234fcfc","https://media.ccc.de/v/24c3-2396-en-eu_rfid_policy","https://cdn.media.ccc.de/congress/2007/mp4/24c3-2396-en-eu_rfid_policy_high.mp4"
"26","4","4","2010-2014 | Black Hat USA","BHKEY-2011-02","Black Hat USA","2011","2010-2014","How a Hacker Has Helped Influence the Government - and Vice Versa","keynote","keynote","235b2ee7ed3a5a485048a8a36f727007961f666b33e11508b3ebb3e78b663476","https://blackhat.com/html/bh-us-11/bh-us-11-archives.html","https://www.youtube.com/watch?v=kZk9fsQisI8"
"27","4","5","2010-2014 | CCC","CCC-2012-032","CCC","2012","2010-2014","Defend your Freedoms Online: It's Political, Stupid!","prospective_session","prospective_metadata","1bf71f9c4ff607dc9e2e5fe59c542ec11de1fa8aa9ffc97182efff970024913a","https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264","https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5159-en-defend_freedoms_online_h264.mp4"
"28","4","6","2010-2014 | Virus Bulletin","VB-2011-P01","Virus Bulletin","2011","2010-2014","Predicting the future of stealth attacks","prospective_session","prospective_metadata","a534e02b35d1800c3e81d4a9bb41dcb3cf3fd09cd8044d3077a437b9e6de2f49","https://www.virusbulletin.com/conference/vb2011/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2011/Kapoor-Mathur-VB2011.pdf"
"29","4","7","2015-2018 | Black Hat USA","BHPRO-2016-01","Black Hat USA","2016","2015-2018","Bad for Enterprise: Attacking BYOD Enterprise Mobile Security Solutions","briefing","prospective_metadata","22ca219404079f0d6ca49d2af62db4819df1678f977e64532b924ba0c6cc3fb2","https://blackhat.com/us-16/briefings.html","https://www.youtube.com/watch?v=vwgXBK2rsjA"
"30","4","8","2015-2018 | CCC","CCC-2018-076","CCC","2018","2015-2018","Election Cybersecurity Progress Report","prospective_session","prospective_metadata","115794c82a56aa6f5346f360fcc2722a93d454d4096cd41ecb626ff4954efc95","https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report","https://cdn.media.ccc.de/congress/2018/h264-sd/35c3-9917-eng-deu-Election_Cybersecurity_Progress_Report_sd.mp4"
"31","4","9","2015-2018 | Virus Bulletin","VB-2016-P01","Virus Bulletin","2016","2015-2018","The Beginning of the End(point): Where we are now and where we'll be in five years","prospective_session","prospective_metadata","c43f33625a26cd75d7cbd950217b2f9c09cb2d676c7674b0961e24c33555336d","https://www.virusbulletin.com/conference/vb2016/programme/","https://www.youtube.com/watch?v=HtXCxA76Zbo"
"32","5","2","2005-2009 | CCC","CCC-2005-004","CCC","2005","2005-2009","Learning cryptography through handcyphers","prospective_session","prospective_metadata","5b1b022e1a500a74620a8f13dfe833ae875f6274854ce657dd2e958d05fbae21","https://media.ccc.de/v/22C3-469-en-learning_cryptography","https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-469-en-learning_cryptography.m4v"
"33","5","4","2010-2014 | Black Hat USA","BHPRO-2014-02","Black Hat USA","2014","2010-2014","Call to Arms: A Tale of the Weaknesses of Current Client-Side XSS Filtering","briefing","prospective_metadata","24222b8de376c69d13032f3082fae504124de35105b1ab55c48ced48009bef5a","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=KsRBig0u568"
"34","5","5","2010-2014 | CCC","CCC-2013-043","CCC","2013","2010-2014","Security Nightmares","prospective_session","prospective_metadata","3203d151ada21d3525483e4ab514f3976eb25f6818ff9ee7e56ae8f66be9d08b","https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron","https://cdn.media.ccc.de/congress/2013/mp4-lq/30c3-5413-de-en-Security_Nightmares_h264-iprod.mp4"
"35","5","6","2010-2014 | Virus Bulletin","VB-2014-P02","Virus Bulletin","2014","2010-2014","Bootkits: past, present & future","prospective_session","prospective_metadata","fd6159494ac41607997ea6a14bb75f4434b695f793f995f59b3dc4625f5a76aa","https://www.virusbulletin.com/conference/vb2014/programme/","https://www.virusbulletin.com/virusbulletin/2014/11/vb2014-paper-bootkits-past-present-future/"
"36","5","7","2015-2018 | Black Hat USA","BHKEY-2017-01","Black Hat USA","2017","2015-2018","Stepping Up Our Game: Re-focusing the Security Community on Defense and Making Security Work for Everyone","keynote","keynote","240ed6bbbb8911266e0b0786e157e42ca53d42e678a6d403018643c6edcfcf27","https://blackhat.com/us-17/briefings.html","https://www.youtube.com/watch?v=YJOMTAREFtY"
"37","5","8","2015-2018 | CCC","CCC-2018-081","CCC","2018","2015-2018","A farewell to soul-crushing code","prospective_session","prospective_metadata","11bf93ab444e078b74198bca9ca2fffca856f65b6659dcc40cc87c8781f1c84a","https://media.ccc.de/v/35c3-9812-a_farewell_to_soul-crushing_code","https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9812-eng-deu-fra-A_farewell_to_soul-crushing_code_hd.mp4"
"38","5","9","2015-2018 | Virus Bulletin","VB-2018-P01","Virus Bulletin","2018","2015-2018","Triada: the past, the present and the (hopefully not existing) future","prospective_session","prospective_metadata","d3def77df1c29cd570b6bfd0efe554784485d6732f9428243f540f713c7b2ad4","https://www.virusbulletin.com/conference/vb2018/programme","https://www.youtube.com/watch?v=abgtZqRtvLI"
"39","6","2","2005-2009 | CCC","CCC-2006-011","CCC","2006","2005-2009","Security Nightmares 2007","prospective_session","prospective_metadata","5c9f0279339ceafe4da66926bc7a4508cc4e29b997455475e3e53012b0cf0a83","https://media.ccc.de/v/23C3-1682-de-security_nightmares","https://cdn.media.ccc.de/congress/2006/video/23C3-1682-de-security_nightmares.m4v"
"40","6","4","2010-2014 | Black Hat USA","BHKEY-2012-01","Black Hat USA","2012","2010-2014","An Interview with Neal Stephenson","keynote","keynote","25d98a5ce23bb2f3620434304aa40663aa76860943444a4ff6367a922e004d25","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","https://www.youtube.com/watch?v=31rFd9JirrM"
"41","6","5","2010-2014 | CCC","CCC-2011-031","CCC","2011","2010-2014","Security Nightmares","prospective_session","prospective_metadata","355409a017db222966dbd7b56662aadca7a3e761dd9d064b9650c22811c98d94","https://media.ccc.de/v/28c3-4898-de-security_nightmares","https://cdn.media.ccc.de/congress/2011/webm/28c3-4898-de-security_nightmares.webm"
"42","6","7","2015-2018 | Black Hat USA","BHPRO-2018-10","Black Hat USA","2018","2015-2018","TLBleed: When Protecting Your CPU Caches is Not Enough","briefing","prospective_metadata","2750c2af356a2424a8db9316142ef9cb1b69273608587d439b141665f7c8f857","https://blackhat.com/us-18/briefings.html","https://www.youtube.com/watch?v=ZBq7VMIkgPk"
"43","6","8","2015-2018 | CCC","CCC-2017-073","CCC","2017","2015-2018","Security Nightmares 0x12","prospective_session","prospective_metadata","1272cf08cb737d4d3b7b4e4a130ac6e76cdb4a4dee0a6558f5d32bc40a1f2870","https://media.ccc.de/v/34c3-8888-security_nightmares_0x12","https://cdn.media.ccc.de/congress/2017/h264-hd/34c3-8888-deu-eng-Security_Nightmares_0x12_hd.mp4"
"44","6","9","2015-2018 | Virus Bulletin","VB-2015-P02","Virus Bulletin","2015","2015-2018","POS fraud - trends and counter-actions to mass fraud","prospective_session","prospective_metadata","f57bec4ff8e8bcfd520214d3869e647d18f8c1a0959a0c4e685c675a6e60e5ad","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.youtube.com/watch?v=JWm2AICa6rg"
"45","7","2","2005-2009 | CCC","CCC-2005-006","CCC","2005","2005-2009","Security Nightmares 2006","prospective_session","prospective_metadata","6386be9c9d781972e40ced18da29413a52a034cffd2f29f3e68afc0ea164608a","https://media.ccc.de/v/22C3-600-de-security_nightmares","https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-600-de-security_nightmares.m4v"
"46","7","4","2010-2014 | Black Hat USA","BHPRO-2014-08","Black Hat USA","2014","2010-2014","Saving Cyberspace","briefing","prospective_metadata","643b282d91df71879ddecb88760dd1392a6029981a95e455743107a7c87b24dc","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=4bK5nNwndVc"
"47","7","5","2010-2014 | CCC","CCC-2013-041","CCC","2013","2010-2014","The Gospel of IRMA","prospective_session","prospective_metadata","489d6e2c086cdb34d15ad3811bfa4dad8f46081c4a9b3b3acda89134870c1cd7","https://media.ccc.de/v/30C3_-_5214_-_en_-_saal_1_-_201312281130_-_the_gospel_of_irma_-_jaap-henk_hoepman","https://cdn.media.ccc.de/congress/2013/mp4/30c3-5214-en-The_Gospel_of_IRMA__h264-hq.mp4"
"48","7","7","2015-2018 | Black Hat USA","BHPRO-2017-03","Black Hat USA","2017","2015-2018","The Avalanche Takedown: Landslide for Law Enforcement","briefing","prospective_metadata","2ae570e7da5243be83b3aef859e5798367e8c8fbe520ab6e63cc54ef2aa26353","https://blackhat.com/us-17/briefings.html","https://www.youtube.com/watch?v=tNk2AI5a1F8"
"49","7","8","2015-2018 | CCC","CCC-2018-074","CCC","2018","2015-2018","""The"" Social Credit System","prospective_session","prospective_metadata","15a6b34603c9ed779e6c7e6f7a901164d72494233fc038722c70a558391384a7","https://media.ccc.de/v/35c3-9904-the_social_credit_system","https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9904-eng-deu-chi-The_Social_Credit_System_hd.mp4"
"50","8","2","2005-2009 | CCC","CCC-2006-009","CCC","2006","2005-2009","SIP Security","prospective_session","prospective_metadata","7a19debb030ac844e336d8e17be6f889de35729e8f8e293cd32478f2a31fa342","https://media.ccc.de/v/23C3-1459-en-sip_security","https://cdn.media.ccc.de/congress/2006/video/23C3-1459-en-sip_security.m4v"
"51","8","4","2010-2014 | Black Hat USA","BHPRO-2012-03","Black Hat USA","2012","2010-2014","The Myth of Twelve More Bytes: Security on the Post-Scarcity Internet","briefing","prospective_metadata","64b3f5baee532439351637ac2038d719a102d105db6f111c201e2b0f5f0c99e1","https://blackhat.com/html/bh-us-12/bh-us-12-archives.html","https://www.youtube.com/watch?v=S34b4kNUIos"
"52","8","5","2010-2014 | CCC","CCC-2013-039","CCC","2013","2010-2014","IFGINT","prospective_session","prospective_metadata","523f89ad330d0b964b323086904c12a9fc78b50ea3c49fe8f617267b4a57fd88","https://media.ccc.de/v/30C3_-_5509_-_de_-_saal_6_-_201312271600_-_ifgint_-_stefan_wehrmeyer","https://cdn.media.ccc.de/congress/2013/mp4/30c3-5509-de-en-IFGINT_h264-hq.mp4"
"53","8","7","2015-2018 | Black Hat USA","BHPRO-2017-01","Black Hat USA","2017","2015-2018","Fad or Future? Getting Past the Bug Bounty Hype","panel","prospective_metadata","4be1080677372838c495a4cf29de5958e9e62304e4fd83b62601549ab2fd4a36","https://blackhat.com/us-17/briefings.html","https://www.youtube.com/watch?v=SAqctQuPyOU"
"54","8","8","2015-2018 | CCC","CCC-2017-066","CCC","2017","2015-2018","Uncovering vulnerabilities in Hoermann BiSecur","prospective_session","prospective_metadata","24a489279499e1457dce3df16bfe444948d98f28ea7dfb287f197bd60bea1def","https://media.ccc.de/v/34c3-9029-uncovering_vulnerabilities_in_hoermann_bisecur","https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9029-eng-deu-Uncovering_vulnerabilities_in_Hoermann_BiSecur_hd-slides.mp4"
"55","9","2","2005-2009 | CCC","CCC-2005-003","CCC","2005","2005-2009","Corp vs. Corp","prospective_session","prospective_metadata","7a698872a67d055fe9da089962f4034adb8edb152d69c7fda565ab75f61a73e2","https://media.ccc.de/v/22C3-423-en-corp_vs_corp","https://cdn.media.ccc.de/congress/2005/lectures/video/mp4-avc/320x240/22C3-423-en-corp_vs_corp.m4v"
"56","9","4","2010-2014 | Black Hat USA","BHPRO-2014-04","Black Hat USA","2014","2010-2014","GRR: Find All the Badness, Collect All the Things","briefing","prospective_metadata","685f00479f26b3865f06e880b5145714ce4ba9d3a41bbb940a28d735167ed99d","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=ren6QSvwFvg"
"57","9","5","2010-2014 | CCC","CCC-2011-030","CCC","2011","2010-2014","The future of cryptology: which 3 letters algorithm(s) could be our Titanic?","prospective_session","prospective_metadata","57c2ba01ca4bfb026e3ea4e4859f6af017431c3441407ace72ed0f33a90d7da6","https://media.ccc.de/v/28c3-4710-en-the_future_of_cryptology","https://cdn.media.ccc.de/congress/2011/ogg-audio-only/28c3-4710-en-the_future_of_cryptology.ogg"
"58","9","7","2015-2018 | Black Hat USA","BHPRO-2016-03","Black Hat USA","2016","2015-2018","Keystone Engine: Next Generation Assembler Framework","briefing","prospective_metadata","5b5ee83f3dd077aa96eedb1708617c214085782a9aac183f95c2ac29b7396a24","https://blackhat.com/us-16/briefings.html","https://www.youtube.com/watch?v=-vzoz_KJTps"
"59","9","8","2015-2018 | CCC","CCC-2016-060","CCC","2016","2015-2018","Security Nightmares 0x11","prospective_session","prospective_metadata","3733fd095369989d003ff8ab3794daa9e366cea244b16dfcfbd9931f0755f44d","https://media.ccc.de/v/33c3-8413-security_nightmares_0x11","https://cdn.media.ccc.de/congress/2016/h264-hd/33c3-8413-deu-eng-Security_Nightmares_0x11_hd.mp4"
"60","10","2","2005-2009 | CCC","CCC-2006-008","CCC","2006","2005-2009","Vehicular Communication and VANETs","prospective_session","prospective_metadata","883473cabdc1260c7f011768e6114be18bffda1d150d75a5f8f3805ff9157963","https://media.ccc.de/v/23C3-1608-en-vehicular_communication_and_vanets","https://cdn.media.ccc.de/congress/2006/video/23C3-1608-en-vehicular_communication_and_vanets.m4v"
"61","10","4","2010-2014 | Black Hat USA","BHKEY-2014-01","Black Hat USA","2014","2010-2014","Cybersecurity as Realpolitik","keynote","keynote","828cbf9396349d3147512b7a88f4c66de867e3a7c7353ceb53cf15761630cb15","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=nT-TGvYOBpI"
"62","10","5","2010-2014 | CCC","CCC-2010-022","CCC","2010","2010-2014","27C3 Keynote","keynote","keynote","5a1ba74c6492e1fc3a2e27efac96e3a80d78c80edb94d809e00dbdc31ae47a78","https://media.ccc.de/v/27c3-4302-en-27c3_keynote_we_come_in_peace","https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4302-en-27c3_keynote_we_come_in_peace.mp4"
"63","10","7","2015-2018 | Black Hat USA","BHPRO-2018-04","Black Hat USA","2018","2015-2018","New Trends in Browser Exploitation: Attacking Client-Side JIT Compilers","briefing","prospective_metadata","68bb17f3d6b297476b3f479a783056f7cc4a553a3be11592c80ad237932efb4c","https://blackhat.com/us-18/briefings.html","https://www.youtube.com/watch?v=emt1yf2Fg9g"
"64","10","8","2015-2018 | CCC","CCC-2015-055","CCC","2015","2015-2018","Predicting Crime in a Big Data World","prospective_session","prospective_metadata","3db380d5a72167778b72c90dc2ea57f38b91f96b8ecd0e998fa97a993a6178cc","https://media.ccc.de/v/32c3-7457-predicting_crime_in_a_big_data_world","https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7457-de-Predicting_Crime_in_a_Big_Data_World.mp4"
"65","11","2","2005-2009 | CCC","CCC-2006-010","CCC","2006","2005-2009","Automated Botnet Detection and Mitigation","prospective_session","prospective_metadata","95b9ac1f72dc1bfdebe1b61b15827d38344b3a13428676a2242b0d5c0100ca4e","https://media.ccc.de/v/23C3-1342-en-botnet_detection","https://cdn.media.ccc.de/congress/2006/video/23C3-1342-en-botnet_detection.m4v"
"66","11","4","2010-2014 | Black Hat USA","BHPRO-2014-05","Black Hat USA","2014","2010-2014","Learn How to Control Every Room at a Luxury Hotel Remotely: The Dangers of Insecure Home Automation Deployment","briefing","prospective_metadata","907ed8508eba63b5e8b777a504c041165780fd44524e611e042c3d68a6033e11","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=xomtYrcTSgU"
"67","11","5","2010-2014 | CCC","CCC-2014-047","CCC","2014","2010-2014","CAESAR and NORX","prospective_session","prospective_metadata","5c39b36839f2246480a3996ed859f65dde206afd0bc0494265c5ce8eb45b613c","https://media.ccc.de/v/31c3_-_6137_-_en_-_saal_g_-_201412291600_-_caesar_and_norx_-_philipp_jovanovic_-_aumasson","https://cdn.media.ccc.de/congress/2014/h264-sd/31c3-6137-en-de-CAESAR_and_NORX_sd.mp4"
"68","11","7","2015-2018 | Black Hat USA","BHPRO-2017-04","Black Hat USA","2017","2015-2018","The Epocholypse 2038: What's in Store for the Next 20 Years","briefing","prospective_metadata","6f5651b01f320b5feb3d542676561ee259050b846e0ee51d45db0264c7215b6c","https://blackhat.com/us-17/briefings.html","https://www.youtube.com/watch?v=abJ3VoZMeBk"
"69","11","8","2015-2018 | CCC","CCC-2015-049","CCC","2015","2015-2018","32C3 Keynote","keynote","keynote","3ef26912e11a61fe8cfa2b07c763b02e72214cdbcc6dd39d89742fd7b37ba1b0","https://media.ccc.de/v/32c3-7565-keynote","https://cdn.media.ccc.de/congress/2015/h264-hd/32c3-7565-en-Keynote_hd.mp4"
"70","12","2","2005-2009 | CCC","CCC-2009-021","CCC","2009","2005-2009","Security Nightmares","prospective_session","prospective_metadata","97a525c717fe390b207f2438cc79fab0de20d071fad9a51b7a8de9ae7b24d679","https://media.ccc.de/v/26c3-3687-de-security_nightmares","https://cdn.media.ccc.de/congress/2009/mp4/26c3-3687-de-security_nightmares.mp4"
"71","12","4","2010-2014 | Black Hat USA","BHPRO-2014-09","Black Hat USA","2014","2010-2014","Why You Need to Detect More Than PtH","briefing","prospective_metadata","a737a2a14dc9b32f08dc0fc238d56cc607f5a329e983166d2045c094b7c2bebe","https://blackhat.com/us-14/archives.html","https://www.youtube.com/watch?v=fXgZKFlw13I"
"72","12","5","2010-2014 | CCC","CCC-2010-027","CCC","2010","2010-2014","Ignorance and Peace Narratives in Cyberspace","prospective_session","prospective_metadata","5fc5b23985bf8dfccd6d7dff96aa2197bbb609fdc93b95dbcde137aa57501d4e","https://media.ccc.de/v/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace","https://cdn.media.ccc.de/congress/2010/mp4-h264-HQ/27c3-4084-en-ignorance_and_peace_narratives_in_cyberspace.mp4"
"73","12","7","2015-2018 | Black Hat USA","BHPRO-2015-02","Black Hat USA","2015","2015-2018","Information Access and Information Sharing: Where We are and Where We are Going","briefing","prospective_metadata","762428ef7e0929774fd070e967e82f0e0a1a99517a7e9bd1507dcffd438de3ec","https://blackhat.com/us-15/briefings.html","https://www.youtube.com/watch?v=4aUSuWEpAC0"
